link,name,price,rating,review
www.amazon.com/PlayStation-4-Console-1TB-Slim/dp/B074LRF639?dchild=1,PlayStation 4 Console - 1TB Slim Edition,$379.89,4.8 out of 5 stars,"3,758"
www.amazon.com/PlayStation-Console-Light-System-Greatest-4/dp/B077QT6K94?dchild=1,"SONY PlayStation 4 Slim 1TB Console, Light & Slim PS4 System, 1TB Hard Drive, All the Greatest Games, TV, Music & More",$375.00,4.7 out of 5 stars,512
www.amazon.com/NexiGo-Playstation-Console-Controller-Charging/dp/B08QHG53MP?dchild=1,NexiGo 2020 Newest Playstation 4 PS4 Slim Console Holiday Bundle 1TB HDD PS4 Controller Charging Station 4K HDMI Cable Bundle 5FT,$549.00,4.5 out of 5 stars,146
www.amazon.com/Sony-PlayStation-Pro-1TB-Console-4/dp/B07K14XKZH?dchild=1,Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$629.00,4.7 out of 5 stars,"2,803"
www.amazon.com/PlayStation-4-Slim-500GB-Console-Discontinued/dp/B01M0RU6LY?dchild=1,PlayStation 4 Slim 500GB Console [Discontinued],$382.00,4.6 out of 5 stars,"1,269"
www.amazon.com/Sony-Playstation-Console-DualShock-Controller/dp/B08QJSHMMN?dchild=1,Sony Playstation 4 Console - 1TB Slim Edition Jet Black - with 1 DualShock 4 Wireless Controller - Family Holiday Gaming Bundle - iPuzzle Red Reindeer Dust Cover for PS4 + 3 Feet HDMI Cable,$499.00,4.2 out of 5 stars,25
www.amazon.com/Playstation-Gaming-Console-Oydisen-Cable/dp/B08FY7PS2Y?dchild=1,2020 Playstation 4 PS4 1TB Slim Gaming Console with Oydisen HDMI Cable - Black,$499.99,4.9 out of 5 stars,12
www.amazon.com/PlayStation-Iron-Man-Star-Wars-Compatible/dp/B08KTRXC2G?dchild=1,"PlayStation VR Iron Man and Star Wars Set, Compatible with PS4 & PS5: VR Headset, Camera, Move Motion Controllers, Iron Man, Star Wars: Squadrons and Mytrix Microfiber Cleaning Cloths",$559.99,4.7 out of 5 stars,74
www.amazon.com/Sony-Playstation-Console-DualShock-Controller/dp/B08RD7HCDY?dchild=1,Sony Playstation 4 Console - 1TB Slim Edition Jet Black - with 1 DualShock 4 Wireless Controller - Family Holiday Gaming - iPuzzle 4 Colors Silicone Cover Skin Protector for PS4 + 3 Feet HDMI Cable,$499.00,4.7 out of 5 stars,4
www.amazon.com/PlayStation-Slim-1TB-Console-Spider-Man-4/dp/B07HHW8C4V?dchild=1,PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$397.00,4.7 out of 5 stars,"2,054"
www.amazon.com/PlayStation-500GB-Console-Model-Discontinued-4/dp/B00BGA9WK2?dchild=1,PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"12,742"
www.amazon.com/Sony-Playstation-Console-DualShock-Controller/dp/B08R8YWXY7?dchild=1,Sony Playstation 4 Console - 1TB Slim Edition Jet Black - with 1 DualShock 4 Wireless Controller - Family Christmas Holiday Gaming Bundle - iPuzzle Red Reindeer Dust Cover for PS4,$497.00,3.9 out of 5 stars,8
www.amazon.com/Holiday-Family-Bundle-Playstation-Slim/dp/B0822KN151?dchild=1,Holiday Family Bundle Sony Playstation 4 1TB Slim- Jet Black,$490.00,4.5 out of 5 stars,84
www.amazon.com/Playstation-DualShock-Wireless-Controller-Mytrix/dp/B08GPDSBF2?dchild=1,"Playstation 4 Pro 2TB Gaming Console with DualShock 4 Wireless Controller Bundle, 4K HDR PS4 Pro 2TB Storage HDD Enhanced by Mytrix",$699.99,4.7 out of 5 stars,88
www.amazon.com/Playstation-Included-Spider-Man-Ghost-Manta/dp/B0891LH1D7?dchild=1,"2020 Playstation 4 PS4 Slim 1TB Console Holiday Bundle, Light & Slim PS4 System, 1TB Hard Drive Ghost Manta Charging Station Dock Bundle",$599.00,4.7 out of 5 stars,53
www.amazon.com/NexiGo-2020-Console-Holiday-Bundle/dp/B08QJQS33T?dchild=1,NexiGo 2020 PS 4 Console Holiday Bundle 1TB HDD - PS4 Days of Play Limited Edition - Steel Black PS4 Controller Charging Station Bundle,$649.00,3.7 out of 5 stars,5
www.amazon.com/Holiday-Ultimate-Playstation-Marvels-Spider-Man/dp/B082Z7GLS1?dchild=1,Holiday Ultimate Bundle Playstation 4 1TB Slim w/bonus Marvel's Spider-Man: Game of The Year Edition,$495.00,4.7 out of 5 stars,690
www.amazon.com/PlayStation-Marvels-Iron-Man-Bundle-4/dp/B08NRGF2DL?dchild=1,PlayStation VR Marvel's Iron Man VR Bundle,$349.99,4.6 out of 5 stars,31
www.amazon.com/Cyberpunk-2077-PlayStation-4/dp/B07DJWBYKP?dchild=1,Cyberpunk 2077 - PlayStation 4,$34.94,3.6 out of 5 stars,"10,245"
www.amazon.com/Marvels-Spider-Man-Miles-Morales-playstation-4/dp/B08KSN7GF4?dchild=1,Marvel's Spider-Man: Miles Morales (PS4),$77.99,4.5 out of 5 stars,41
www.amazon.com/Danganronpa-Trilogy-PS4-playstation-4/dp/B07MHPPBQ7?dchild=1,Danganronpa Trilogy (PS4),$59.45,4.8 out of 5 stars,897
www.amazon.com/Collective-Dominator-Controller-Adapter-playstation-4/dp/B01L8QHXJA?dchild=1,Collective Minds Strike Pack F.P.S. Dominator Controller Adapter with MODS & Paddles for PS4,$37.74,4.2 out of 5 stars,"17,318"
www.amazon.com/DualShock-Wireless-Controller-PlayStation-Gold-4/dp/B071RSSMLL?dchild=1,DualShock 4 Wireless Controller for PlayStation 4 - Gold,$64.94,4.7 out of 5 stars,"86,404"
www.amazon.com/Stealth-Wireless-Gaming-Headset-PlayStation-Console/dp/B08D46V1TK?dchild=1,Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset for PlayStation 5 and PlayStation 4,$99.95,4.6 out of 5 stars,"4,066"
www.amazon.com/Marvels-Spider-Man-Miles-Morales-Launch-PlayStation/dp/B08JHVG9ZJ?dchild=1,Marvel's Spider-Man: Miles Morales Launch Edition - PlayStation 4,$49.88,4.9 out of 5 stars,"7,700"
www.amazon.com/YCCTEAM-Controller-Compatible-Upgraded-playstation-4/dp/B0872MNQVD?dchild=1,YCCTEAM Wireless Game Controller Compatible with PS4/ Slim/ Pro Console (Jet Black),$36.99,4.0 out of 5 stars,"2,027"
