Name,Price,Rating,Review Counts,link
NCAA Football 11 - Playstation 3,$79.99,4.5 out of 5 stars,255,https://www.amazon.com//NCAA-Football-11-Playstation-3/dp/B00386VMWI/ref=sr_1_1?dchild=1&keywords=ps3&qid=1611572701&sr=8-1
"PS3 Controller Wireless for Playstation 3 Dual Shock (Pack of 2,Black)",$26.50,4.3 out of 5 stars,"2,278",https://www.amazon.com//Controller-Wireless-Playstation-Shock-Black/dp/B087RK4VDX/ref=sr_1_2?dchild=1&keywords=ps3&qid=1611572701&sr=8-2
"Bowei PS3 Controller Wireless 2 Pack Double Shock Gamepad for Playstation 3 Remotes, Six-Axis Wireless PS3 Controller with Charging Cable, Blue+ Purple",$27.89,4.2 out of 5 stars,"2,677",https://www.amazon.com//Bowei-PS3-Controller-Wireless-Playstation/dp/B07C85HK2J/ref=sr_1_3?dchild=1&keywords=ps3&qid=1611572701&sr=8-3
"Game Controller for PS3 - Wireless Dual Vibration 3 KLNO Sixaxis Gamepad, Best Gifts for Kids, Son and Father in Family Playing with USB Charger Cable, for Sony Playstation 3 (Black+Blue)",$18.99,4.2 out of 5 stars,"2,036",https://www.amazon.com//Game-Controller-PS3-Vibration-Playstation/dp/B07YF8WSNY/ref=sr_1_4?dchild=1&keywords=ps3&qid=1611572701&sr=8-4
"PS3 Controller, PS3 Controller Wireless, PS3 Remote, CFORWARD 1Pack Wireless Rechargeable Gamepad Dual Vibration Remote Joystick Compatible for Playstation 3",$15.99,4.3 out of 5 stars,619,https://www.amazon.com//Controller-CFORWARD-Rechargeable-Compatible-Playstation/dp/B088ZTKG1J/ref=sr_1_5?dchild=1&keywords=ps3&qid=1611572701&sr=8-5
PS3 Controller Wireless Double Shock Controller for Playstation 3 with Charge Cord,$18.49,4.2 out of 5 stars,"1,445",https://www.amazon.com//PS3-Controller-Wireless-Double-Playstation/dp/B07C7KKMRF/ref=sr_1_6?dchild=1&keywords=ps3&qid=1611572701&sr=8-6
"Bek Wireless PS3 Controller, Design PS3 Gamepad Remote with Non-Slip Joystick Thumb Grips, Rechargeable Battery Dualshock 3 Vibration and Motion Sensors for Sony Playstation 3 PS3 Color (Blue)",$13.49,4.1 out of 5 stars,"3,380",https://www.amazon.com//Bek-Design-Wireless-Controller-Playstation/dp/B073CLJH8J/ref=sr_1_7?dchild=1&keywords=ps3&qid=1611572701&sr=8-7
WWE '13,$68.95,4.6 out of 5 stars,483,https://www.amazon.com//WWE-13-playstation-3/dp/B0085L2T0A/ref=sr_1_8?dchild=1&keywords=ps3&qid=1611572701&sr=8-8
PS3 Controller Wireless Gamepad for Playstation 3 Wireless Remotes with Charging Cable (Blue and Purple Set),$28.59,4.2 out of 5 stars,"1,445",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00282182VXCAL5WSS9KU&url=%2FController-Wireless-Gamepad-Playstation-Charging-3%2Fdp%2FB08CRN94D8%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dps3%26qid%3D1611572701%26sr%3D8-9-spons%26psc%3D1&qualifier=1611572701&id=4964295384530530&widgetName=sp_mtf
LEGO Dimensions Starter Pack - PlayStation 3,$37.99,4.7 out of 5 stars,667,https://www.amazon.com//LEGO-Dimensions-Starter-Pack-PlayStation-3/dp/B00VMB5V96/ref=sr_1_10?dchild=1&keywords=ps3&qid=1611572701&sr=8-10
"【Newest Version】 TPLGO 600 mAh High Capacity Wireless Controller for PS3, Sixaxis Remote Gamepad for Sony Playstation 3 with 6 Feet Charging Cable with Gift Wrap.",$17.49,4.1 out of 5 stars,392,https://www.amazon.com//Version%E3%80%91-TPLGO-Capacity-Controller-Playstation/dp/B07S613XQG/ref=sr_1_11?dchild=1&keywords=ps3&qid=1611572701&sr=8-11
Red Dead Redemption Game of the Year,$23.95,4.7 out of 5 stars,"2,209",https://www.amazon.com//Dead-Redemption-Game-Year-sony-playstation3/dp/B005N4HBIW/ref=sr_1_12?dchild=1&keywords=ps3&qid=1611572701&sr=8-12
"Etpark Wireless Controller for PS3, Bluetooth Gamepad for Playstation 3 with Dual Shock Sixaxis,USB Charger Cable Cord",$11.99,4.3 out of 5 stars,715,https://www.amazon.com//Etpark-Controller-Bluetooth-Playstation-Dualshock3/dp/B07ZV682LH/ref=sr_1_13?dchild=1&keywords=ps3&qid=1611572701&sr=8-13
